Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,"Bahamas, The",BHS,0.7,..,..,..,..,0.7,..,..,..,..,0.6,..,..,..,..,0.5,0.5,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Bahrain,BHR,3.1,..,..,..,..,2.7,..,..,..,..,2.4,..,..,..,..,2,1.9,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Bangladesh,BGD,7.7,..,..,..,..,8.2,..,..,..,..,8.5,..,..,..,..,7.4,7,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Barbados,BRB,0.6,..,..,..,..,3.4,..,..,..,..,1.3,..,..,..,..,0.5,0.5,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Belarus,BLR,13.5,..,..,..,..,14.5,..,..,..,..,12.3,..,..,..,..,8.3,8.2,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Belgium,BEL,14,..,..,..,..,12.1,..,..,..,..,13.6,..,..,..,..,13.4,13.8,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Belize,BLZ,2,..,..,..,..,1.9,..,..,..,..,1.9,..,..,..,..,1.7,1.6,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Benin,BEN,6,..,..,..,..,6.1,..,..,..,..,5.9,..,..,..,..,6,5.9,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Bhutan,BTN,9.6,..,..,..,..,9.2,..,..,..,..,8.4,..,..,..,..,8.7,8.5,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Bolivia,BOL,12.7,..,..,..,..,11.4,..,..,..,..,10.4,..,..,..,..,8.8,8.6,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Bosnia and Herzegovina,BIH,4.4,..,..,..,..,3.7,..,..,..,..,3.3,..,..,..,..,3.7,3.6,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Botswana,BWA,4.1,..,..,..,..,5,..,..,..,..,5.3,..,..,..,..,4.6,4.5,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Brazil,BRA,2,..,..,..,..,2.5,..,..,..,..,2.8,..,..,..,..,3.2,3.1,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Brunei Darussalam,BRN,1.4,..,..,..,..,1.7,..,..,..,..,2,..,..,..,..,2.6,2.7,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Bulgaria,BGR,10.2,..,..,..,..,6.7,..,..,..,..,6,..,..,..,..,5.1,5.1,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Burkina Faso,BFA,4.8,..,..,..,..,4.7,..,..,..,..,4.8,..,..,..,..,5.3,5.3,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Burundi,BDI,4.8,..,..,..,..,5.5,..,..,..,..,5.2,..,..,..,..,4.8,4.9,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Cabo Verde,CPV,5.7,..,..,..,..,6.1,..,..,..,..,6.6,..,..,..,..,6.1,6.1,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Cambodia,KHM,3.6,..,..,..,..,3.6,..,..,..,..,3.2,..,..,..,..,2.9,2.9,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Cameroon,CMR,8.8,..,..,..,..,7.3,..,..,..,..,6.9,..,..,..,..,7.3,7.4,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Canada,CAN,6.5,..,..,..,..,6.9,..,..,..,..,7.1,..,..,..,..,7,7,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Central African Republic,CAF,4.8,..,..,..,..,4.8,..,..,..,..,5.1,..,..,..,..,4.3,4,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Chad,TCD,7.2,..,..,..,..,7.8,..,..,..,..,7.9,..,..,..,..,7.5,7.4,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Chile,CHL,3.1,..,..,..,..,3.5,..,..,..,..,4.7,..,..,..,..,4.4,4,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,China,CHN,15.4,..,..,..,..,13.4,..,..,..,..,12.5,..,..,..,..,10.3,10.3,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Colombia,COL,3.5,..,..,..,..,3,..,..,..,..,2.7,..,..,..,..,3.3,2.8,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Comoros,COM,2.9,..,..,..,..,3.6,..,..,..,..,3.4,..,..,..,..,3.6,3.6,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,"Congo, Dem. Rep.",COD,3.8,..,..,..,..,3.4,..,..,..,..,2.9,..,..,..,..,2.9,2.9,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,"Congo, Rep.",COG,6.1,..,..,..,..,5.7,..,..,..,..,4.5,..,..,..,..,3.5,3.3,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Costa Rica,CRI,1.7,..,..,..,..,2.4,..,..,..,..,2.5,..,..,..,..,2.4,2.4,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Cote d'Ivoire,CIV,5,..,..,..,..,5.9,..,..,..,..,6.9,..,..,..,..,8.2,8.3,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Croatia,HRV,10.4,..,..,..,..,10.1,..,..,..,..,9.4,..,..,..,..,9.4,7.9,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Cuba,CUB,10,..,..,..,..,6.5,..,..,..,..,6.1,..,..,..,..,5.6,5.8,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Cyprus,CYP,1.6,..,..,..,..,1.5,..,..,..,..,2.7,..,..,..,..,2.5,2.3,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Czech Republic,CZE,7,..,..,..,..,6,..,..,..,..,5.2,..,..,..,..,5,5.1,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Denmark,DNK,9.4,..,..,..,..,11.4,..,..,..,..,8.7,..,..,..,..,8.4,8.2,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Djibouti,DJI,4.3,..,..,..,..,4.3,..,..,..,..,3.5,..,..,..,..,4.1,4.3,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Dominica,DMA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Dominican Republic,DOM,3.2,..,..,..,..,3.2,..,..,..,..,3,..,..,..,..,3.1,3.1,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Ecuador,ECU,3.7,..,..,..,..,5.1,..,..,..,..,4.8,..,..,..,..,4.9,3.9,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,"Egypt, Arab Rep.",EGY,1.3,..,..,..,..,1.5,..,..,..,..,1.5,..,..,..,..,1.5,1.5,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,El Salvador,SLV,6.4,..,..,..,..,4.6,..,..,..,..,4.2,..,..,..,..,4.6,4.5,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Equatorial Guinea,GNQ,6,..,..,..,..,6.1,..,..,..,..,7,..,..,..,..,7.6,7.7,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Eritrea,ERI,6.7,..,..,..,..,5.5,..,..,..,..,4.1,..,..,..,..,3.7,3.6,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Estonia,EST,12.7,..,..,..,..,8.3,..,..,..,..,6.6,..,..,..,..,5.3,6.6,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Eswatini,SWZ,6.1,..,..,..,..,5.6,..,..,..,..,6,..,..,..,..,7.2,7.5,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Ethiopia,ETH,3.9,..,..,..,..,3.7,..,..,..,..,3.3,..,..,..,..,3.2,3.1,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Fiji,FJI,2.9,..,..,..,..,2.4,..,..,..,..,2.4,..,..,..,..,2.4,2.4,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Finland,FIN,12.9,..,..,..,..,11.5,..,..,..,..,9.8,..,..,..,..,7.2,8.1,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,France,FRA,14.4,..,..,..,..,13.5,..,..,..,..,13,..,..,..,..,11.8,11.7,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Gabon,GAB,3.5,..,..,..,..,3.1,..,..,..,..,3.1,..,..,..,..,3.3,3.2,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,"Gambia, The",GMB,5.2,..,..,..,..,4.3,..,..,..,..,3.6,..,..,..,..,3.8,3.7,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Georgia,GEO,2.3,..,..,..,..,2,..,..,..,..,2.3,..,..,..,..,2.7,2.7,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Germany,DEU,7.7,..,..,..,..,7.2,..,..,..,..,7,..,..,..,..,7.8,7.7,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Ghana,GHA,1.9,..,..,..,..,1.9,..,..,..,..,2.1,..,..,..,..,2.1,2.1,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Greece,GRC,1.5,..,..,..,..,1.4,..,..,..,..,0.7,..,..,..,..,1.9,2,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Grenada,GRD,1.1,..,..,..,..,0.6,..,..,..,..,0,..,..,..,..,1.1,1.9,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Guatemala,GTM,1.6,..,..,..,..,1.8,..,..,..,..,1.5,..,..,..,..,1.9,1.8,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Guinea,GIN,5.4,..,..,..,..,5.4,..,..,..,..,5.1,..,..,..,..,5.2,5,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Guinea-Bissau,GNB,4.4,..,..,..,..,3.9,..,..,..,..,3.4,..,..,..,..,3.3,3.3,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Guyana,GUY,12.3,..,..,..,..,12.8,..,..,..,..,13.6,..,..,..,..,14.5,14.4,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Haiti,HTI,4.4,..,..,..,..,5,..,..,..,..,5.7,..,..,..,..,6.5,6.5,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Honduras,HND,1.3,..,..,..,..,1.4,..,..,..,..,1.3,..,..,..,..,1.5,1.5,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,"Hong Kong SAR, China",HKG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Hungary,HUN,15.3,..,..,..,..,11.8,..,..,..,..,11.4,..,..,..,..,10.1,9.6,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Iceland,ISL,6.9,..,..,..,..,8.5,..,..,..,..,6,..,..,..,..,5.7,5.6,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,India,IND,16,..,..,..,..,17.1,..,..,..,..,15.2,..,..,..,..,14.9,14.7,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Indonesia,IDN,2.5,..,..,..,..,2.3,..,..,..,..,2.2,..,..,..,..,2,2,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,"Iran, Islamic Rep.",IRN,9.3,..,..,..,..,8.2,..,..,..,..,4.4,..,..,..,..,3,3.1,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Iraq,IRQ,1.9,..,..,..,..,1.9,..,..,..,..,2.2,..,..,..,..,2.6,2.6,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Ireland,IRL,4.8,..,..,..,..,4.9,..,..,..,..,5.6,..,..,..,..,4.5,4.6,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Israel,ISR,3.3,..,..,..,..,4.2,..,..,..,..,2.7,..,..,..,..,2.4,2.7,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Italy,ITA,4.1,..,..,..,..,3.9,..,..,..,..,3.8,..,..,..,..,4.5,4.5,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Jamaica,JAM,0.8,..,..,..,..,0.8,..,..,..,..,0.9,..,..,..,..,1,1,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Japan,JPN,13.9,..,..,..,..,13.6,..,..,..,..,14.1,..,..,..,..,11.8,11.4,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Jordan,JOR,2.6,..,..,..,..,2.3,..,..,..,..,2.1,..,..,..,..,2.2,2.2,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Kazakhstan,KAZ,10.4,..,..,..,..,12.4,..,..,..,..,11.2,..,..,..,..,8.4,7.6,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Kenya,KEN,1.9,..,..,..,..,1.6,..,..,..,..,1.2,..,..,..,..,1.2,1.2,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Kiribati,KIR,5.8,..,..,..,..,5.7,..,..,..,..,5.4,..,..,..,..,5,5,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,"Korea, Dem. People’s Rep.",PRK,7.9,..,..,..,..,8.9,..,..,..,..,9.3,..,..,..,..,8.7,8.5,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,"Korea, Rep.",KOR,9.3,..,..,..,..,17.8,..,..,..,..,23.1,..,..,..,..,16.5,15.4,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Kosovo,XKX,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Kuwait,KWT,1.8,..,..,..,..,1.5,..,..,..,..,1.5,..,..,..,..,1.8,1.7,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Kyrgyz Republic,KGZ,4.7,..,..,..,..,3.9,..,..,..,..,4.3,..,..,..,..,3.3,3.5,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Lao PDR,LAO,7,..,..,..,..,6.6,..,..,..,..,6.1,..,..,..,..,5.7,5.7,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Latvia,LVA,12.9,..,..,..,..,10.2,..,..,..,..,6,..,..,..,..,8.2,7.3,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Lebanon,LBN,2.1,..,..,..,..,2.3,..,..,..,..,2.5,..,..,..,..,2.4,2.4,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Lesotho,LSO,21.2,..,..,..,..,21.5,..,..,..,..,23.2,..,..,..,..,24.1,24.4,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Liberia,LBR,4.7,..,..,..,..,6.6,..,..,..,..,6.1,..,..,..,..,6.3,6.6,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Libya,LBY,2.7,..,..,..,..,2.7,..,..,..,..,2.4,..,..,..,..,2,2.2,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Liechtenstein,LIE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Lithuania,LTU,18.7,..,..,..,..,14.7,..,..,..,..,12.8,..,..,..,..,11.9,9.5,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Luxembourg,LUX,10.3,..,..,..,..,7.1,..,..,..,..,7.7,..,..,..,..,7.9,8.3,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,"Macao SAR, China",MAC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Madagascar,MDG,2.8,..,..,..,..,2.7,..,..,..,..,2.5,..,..,..,..,2.2,2.2,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Malawi,MWI,2.4,..,..,..,..,1.8,..,..,..,..,1.6,..,..,..,..,1.6,1.6,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Malaysia,MYS,3.1,..,..,..,..,2.9,..,..,..,..,2.8,..,..,..,..,3.1,3.2,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Maldives,MDV,3.4,..,..,..,..,2.1,..,..,..,..,2,..,..,..,..,1.5,1.3,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Mali,MLI,3.2,..,..,..,..,2.7,..,..,..,..,2.7,..,..,..,..,2.7,2.7,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Malta,MLT,3,..,..,..,..,3.1,..,..,..,..,2.5,..,..,..,..,3.3,2.8,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Marshall Islands,MHL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Mauritania,MRT,1.7,..,..,..,..,1.7,..,..,..,..,1.9,..,..,..,..,2.1,2.2,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Mauritius,MUS,4.7,..,..,..,..,3.9,..,..,..,..,3.6,..,..,..,..,4.2,2.4,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Mexico,MEX,1.1,..,..,..,..,1.5,..,..,..,..,1.9,..,..,..,..,2.4,2.3,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,"Micronesia, Fed. Sts.",FSM,7.5,..,..,..,..,7.6,..,..,..,..,6.7,..,..,..,..,6.5,6.3,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Moldova,MDA,4.5,..,..,..,..,5.8,..,..,..,..,5.9,..,..,..,..,5.2,4.7,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Monaco,MCO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Mongolia,MNG,7.6,..,..,..,..,6,..,..,..,..,4.9,..,..,..,..,3.7,3.5,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Montenegro,MNE,6.7,..,..,..,..,6.6,..,..,..,..,5.7,..,..,..,..,5.2,5.3,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Morocco,MAR,8.1,..,..,..,..,6.3,..,..,..,..,4.7,..,..,..,..,3.6,3.4,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Mozambique,MOZ,4.8,..,..,..,..,3.8,..,..,..,..,3,..,..,..,..,2.6,2.5,..,..,..,..
