Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,"Bahamas, The",BHS,51.222,47.662,44.102,43.1744,42.2468,39.464,38.1306,36.7972,35.4638,34.1304,32.797,32.2378,31.6786,31.1194,30.5602
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Bahrain,BHR,17.583,17.184,16.785,16.3854,15.9858,14.787,14.6282,14.4694,14.3106,14.1518,13.993,13.868,13.743,13.618,13.493
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Bangladesh,BGD,112.2538,109.1354,106.017,103.6338,101.2506,94.101,93.0018,91.9026,90.8034,89.7042,88.605,87.4764,86.3478,85.2192,84.0906
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Barbados,BRB,51.1212,50.8186,50.516,49.8788,49.2416,47.33,46.4058,45.4816,44.5574,43.6332,42.709,40.8772,39.0454,37.2136,35.3818
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Belarus,BLR,27.783,26.037,24.291,23.8958,23.5006,22.315,22.1266,21.9382,21.7498,21.5614,21.373,19.9998,18.6266,17.2534,15.8802
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Belgium,BEL,10.6408,10.7954,10.95,10.766,10.582,10.03,9.2298,8.4296,7.6294,6.8292,6.029,5.7534,5.4778,5.2022,4.9266
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Belize,BLZ,97.2162,94.2016,91.187,88.6808,86.1746,78.656,77.4606,76.2652,75.0698,73.8744,72.679,71.8406,71.0022,70.1638,69.3254
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Benin,BEN,118.5246,117.0918,115.659,114.263,112.867,108.679,106.2162,103.7534,101.2906,98.8278,96.365,94.3112,92.2574,90.2036,88.1498
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Bhutan,BTN,77.1602,73.1576,69.155,64.9028,60.6506,47.894,43.913,39.932,35.951,31.97,27.989,26.428,24.867,23.306,21.745
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Bolivia,BOL,86.5276,86.1188,85.71,84.9532,84.1964,81.926,80.1186,78.3112,76.5038,74.6964,72.889,71.2912,69.6934,68.0956,66.4978
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Bosnia and Herzegovina,BIH,21.4168,20.1424,18.868,18.3324,17.7968,16.19,15.3634,14.5368,13.7102,12.8836,12.057,11.574,11.091,10.608,10.125
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Botswana,BWA,59.1762,55.4586,51.741,51.1248,50.5086,48.66,48.558,48.456,48.354,48.252,48.15,47.7322,47.3144,46.8966,46.4788
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Brazil,BRA,82.21,81.526,80.842,78.904,76.966,71.152,69.7322,68.3124,66.8926,65.4728,64.053,63.0646,62.0762,61.0878,60.0994
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Brunei Darussalam,BRN,27.4754,27.0112,26.547,24.849,23.151,18.057,17.3338,16.6106,15.8874,15.1642,14.441,13.6072,12.7734,11.9396,11.1058
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Bulgaria,BGR,44.808,43.661,42.514,43.2528,43.9916,46.208,45.7176,45.2272,44.7368,44.2464,43.756,42.9768,42.1976,41.4184,40.6392
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Burkina Faso,BFA,139.304,138.203,137.102,135.6118,134.1216,129.651,126.8024,123.9538,121.1052,118.2566,115.408,113.1922,110.9764,108.7606,106.5448
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Burundi,BDI,76.266,75.368,74.47,72.6116,70.7532,65.178,64.2804,63.3828,62.4852,61.5876,60.69,59.67,58.65,57.63,56.61
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Cabo Verde,CPV,96.512,95.183,93.854,92.7968,91.7396,88.568,86.5846,84.6012,82.6178,80.6344,78.651,77.6726,76.6942,75.7158,74.7374
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Cambodia,KHM,49.5172,48.8526,48.188,47.946,47.704,46.978,47.3456,47.7132,48.0808,48.4484,48.816,49.0882,49.3604,49.6326,49.9048
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Cameroon,CMR,154.7712,152.3776,149.984,146.3422,142.7004,131.775,129.6118,127.4486,125.2854,123.1222,120.959,117.9272,114.8954,111.8636,108.8318
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Canada,CAN,16.8338,15.7394,14.645,14.4514,14.2578,13.677,13.2404,12.8038,12.3672,11.9306,11.494,10.8726,10.2512,9.6298,9.0084
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Central African Republic,CAF,149.054,148.511,147.968,147.1534,146.3388,143.895,142.809,141.723,140.637,139.551,138.465,136.5868,134.7086,132.8304,130.9522
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Chad,TCD,212.41,211.069,209.728,206.9984,204.2688,196.08,192.508,188.936,185.364,181.792,178.22,174.794,171.368,167.942,164.516
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Channel Islands,CHI,13.656,13.01,12.364,12.075,11.786,10.919,10.4878,10.0566,9.6254,9.1942,8.763,8.3832,8.0034,7.6236,7.2438
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Chile,CHL,60.3632,58.6966,57.03,56.6368,56.2436,55.064,54.8116,54.5592,54.3068,54.0544,53.802,51.252,48.702,46.152,43.602
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,China,CHN,9.911,9.33,8.749,8.4572,8.1654,7.29,7.3074,7.3248,7.3422,7.3596,7.377,7.4286,7.4802,7.5318,7.5834
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Colombia,COL,97.6814,96.6012,95.521,92.8456,90.1702,82.144,80.3788,78.6136,76.8484,75.0832,73.318,71.9846,70.6512,69.3178,67.9844
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Comoros,COM,94.8934,93.5442,92.195,89.6594,87.1238,79.517,78.5028,77.4886,76.4744,75.4602,74.446,72.627,70.808,68.989,67.17
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,"Congo, Dem. Rep.",COD,125.4476,125.8948,126.342,127.2276,128.1132,130.77,130.4848,130.1996,129.9144,129.6292,129.344,128.3192,127.2944,126.2696,125.2448
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,"Congo, Rep.",COG,122.1396,121.8888,121.638,121.4256,121.2132,120.576,120.13,119.684,119.238,118.792,118.346,117.1226,115.8992,114.6758,113.4524
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Costa Rica,CRI,74.9312,72.1836,69.436,68.2628,67.0896,63.57,62.8094,62.0488,61.2882,60.5276,59.767,58.5056,57.2442,55.9828,54.7214
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Cote d'Ivoire,CIV,137.767,137.584,137.401,136.3116,135.2222,131.954,130.4458,128.9376,127.4294,125.9212,124.413,123.0558,121.6986,120.3414,118.9842
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Croatia,HRV,16.773,15.992,15.211,15.0844,14.9578,14.578,13.8968,13.2156,12.5344,11.8532,11.172,10.6738,10.1756,9.6774,9.1792
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Cuba,CUB,52.9062,50.9856,49.065,48.7594,48.4538,47.537,48.7802,50.0234,51.2666,52.5098,53.753,53.3208,52.8886,52.4564,52.0242
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Curacao,CUW,41.2672,40.4536,39.64,39.144,38.648,37.16,36.7452,36.3304,35.9156,35.5008,35.086,33.6572,32.2284,30.7996,29.3708
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Cyprus,CYP,9.5572,8.3916,7.226,7.0678,6.9096,6.435,6.1802,5.9254,5.6706,5.4158,5.161,5.0452,4.9294,4.8136,4.6978
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Czech Republic,CZE,13.4416,12.4008,11.36,11.3114,11.2628,11.117,11.044,10.971,10.898,10.825,10.752,10.996,11.24,11.484,11.728
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Denmark,DNK,7.1736,6.8958,6.618,6.4682,6.3184,5.869,5.5824,5.2958,5.0092,4.7226,4.436,4.3734,4.3108,4.2482,4.1856
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Djibouti,DJI,33.099,32.009,30.919,29.7976,28.6762,25.312,24.592,23.872,23.152,22.432,21.712,21.1378,20.5636,19.9894,19.4152
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Dominica,DMA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Dominican Republic,DOM,107.8534,107.1772,106.501,106.1268,105.7526,104.63,103.2216,101.8132,100.4048,98.9964,97.588,96.9224,96.2568,95.5912,94.9256
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Ecuador,ECU,84.1908,84.1524,84.114,84.0088,83.9036,83.588,83.4192,83.2504,83.0816,82.9128,82.744,82.0474,81.3508,80.6542,79.9576
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,"Egypt, Arab Rep.",EGY,55.6848,54.0844,52.484,51.8576,51.2312,49.352,50.6334,51.9148,53.1962,54.4776,55.759,55.371,54.983,54.595,54.207
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,El Salvador,SLV,91.262,89.962,88.662,87.4288,86.1956,82.496,80.6998,78.9036,77.1074,75.3112,73.515,72.7038,71.8926,71.0814,70.2702
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Equatorial Guinea,GNQ,183.0362,180.9126,178.789,177.949,177.109,174.589,173.0264,171.4638,169.9012,168.3386,166.776,164.5452,162.3144,160.0836,157.8528
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Eritrea,ERI,88.595,85.49,82.385,81.1238,79.8626,76.079,72.9266,69.7742,66.6218,63.4694,60.317,58.7642,57.2114,55.6586,54.1058
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Estonia,EST,26.2586,24.8888,23.519,23.3278,23.1366,22.563,21.2766,19.9902,18.7038,17.4174,16.131,14.4444,12.7578,11.0712,9.3846
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Eswatini,SWZ,108.631,106.651,104.671,102.145,99.619,92.041,89.5948,87.1486,84.7024,82.2562,79.81,79.187,78.564,77.941,77.318
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Ethiopia,ETH,110.6438,108.3464,106.049,102.1638,98.2786,86.623,84.894,83.165,81.436,79.707,77.978,75.7278,73.4776,71.2274,68.9772
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Fiji,FJI,42.88,42.023,41.166,41.9814,42.7968,45.243,45.375,45.507,45.639,45.771,45.903,46.593,47.283,47.973,48.663
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Finland,FIN,10.1402,10.3656,10.591,10.319,10.047,9.231,8.8694,8.5078,8.1462,7.7846,7.423,7.101,6.779,6.457,6.135
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,France,FRA,7.6438,7.7854,7.927,7.7912,7.6554,7.248,7.128,7.008,6.888,6.768,6.648,6.2638,5.8796,5.4954,5.1112
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,French Polynesia,PYF,47.4068,46.8134,46.22,45.2724,44.3248,41.482,41.4174,41.3528,41.2882,41.2236,41.159,40.6648,40.1706,39.6764,39.1822
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Gabon,GAB,138.5048,134.1064,129.708,127.1218,124.5356,116.777,114.6548,112.5326,110.4104,108.2882,106.166,104.1782,102.1904,100.2026,98.2148
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,"Gambia, The",GMB,123.7992,120.7466,117.694,114.8452,111.9964,103.45,100.9386,98.4272,95.9158,93.4044,90.893,88.3514,85.8098,83.2682,80.7266
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Georgia,GEO,53.2282,50.7896,48.351,48.832,49.313,50.756,50.9344,51.1128,51.2912,51.4696,51.648,50.6,49.552,48.504,47.456
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Germany,DEU,12.6676,12.5188,12.37,11.8502,11.3304,9.771,9.4294,9.0878,8.7462,8.4046,8.063,8.0694,8.0758,8.0822,8.0886
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Ghana,GHA,83.9638,81.7144,79.465,78.3214,77.1778,73.747,73.3528,72.9586,72.5644,72.1702,71.776,70.743,69.71,68.677,67.644
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Greece,GRC,11.0336,10.8128,10.592,10.7362,10.8804,11.313,10.7582,10.2034,9.6486,9.0938,8.539,8.2758,8.0126,7.7494,7.4862
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Grenada,GRD,55.2782,53.2156,51.153,49.404,47.655,42.408,40.998,39.588,38.178,36.768,35.358,34.1218,32.8856,31.6494,30.4132
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Guam,GUM,62.3426,59.8318,57.321,55.2848,53.2486,47.14,45.4516,43.7632,42.0748,40.3864,38.698,37.301,35.904,34.507,33.11
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Guatemala,GTM,111.514,109.069,106.624,103.1252,99.6264,89.13,87.0182,84.9064,82.7946,80.6828,78.571,77.0428,75.5146,73.9864,72.4582
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Guinea,GIN,168.9176,167.1008,165.284,163.303,161.322,155.379,153.4778,151.5766,149.6754,147.7742,145.873,143.7572,141.6414,139.5256,137.4098
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Guinea-Bissau,GNB,130.187,128.766,127.345,125.902,124.459,120.13,117.664,115.198,112.732,110.266,107.8,107.2046,106.6092,106.0138,105.4184
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Guyana,GUY,97.1796,98.6798,100.18,98.6598,97.1396,92.579,90.6756,88.7722,86.8688,84.9654,83.062,81.326,79.59,77.854,76.118
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Haiti,HTI,68.519,67.581,66.643,65.799,64.955,62.423,61.4516,60.4802,59.5088,58.5374,57.566,56.388,55.21,54.032,52.854
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Honduras,HND,116.1338,113.6964,111.259,108.0484,104.8378,95.206,92.1836,89.1612,86.1388,83.1164,80.094,78.6576,77.2212,75.7848,74.3484
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,"Hong Kong SAR, China",HKG,4.3656,4.0448,3.724,3.5802,3.4364,3.005,3.0082,3.0114,3.0146,3.0178,3.021,2.9578,2.8946,2.8314,2.7682
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Hungary,HUN,22.8472,21.9326,21.018,20.7232,20.4284,19.544,19.6982,19.8524,20.0066,20.1608,20.315,21.0478,21.7806,22.5134,23.2462
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Iceland,ISL,19.7576,18.5038,17.25,16.66,16.07,14.3,13.312,12.324,11.336,10.348,9.36,8.7418,8.1236,7.5054,6.8872
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,India,IND,66.837,63.498,60.159,57.039,53.919,44.559,41.2576,37.9562,34.6548,31.3534,28.052,25.077,22.102,19.127,16.152
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Indonesia,IDN,50.3512,51.1856,52.02,51.917,51.814,51.505,51.299,51.093,50.887,50.681,50.475,49.8548,49.2346,48.6144,47.9942
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,"Iran, Islamic Rep.",IRN,37.3756,35.0628,32.75,32.507,32.264,31.535,32.1422,32.7494,33.3566,33.9638,34.571,35.7838,36.9966,38.2094,39.4222
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Iraq,IRQ,63.8182,63.4836,63.149,65.2888,67.4286,73.848,74.977,76.106,77.235,78.364,79.493,77.941,76.389,74.837,73.285
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Ireland,IRL,18.5508,18.6704,18.79,18.2878,17.7856,16.279,15.1788,14.0786,12.9784,11.8782,10.778,10.1254,9.4728,8.8202,8.1676
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Israel,ISR,16.6924,16.3722,16.052,15.6492,15.2464,14.038,13.539,13.04,12.541,12.042,11.543,11.1558,10.7686,10.3814,9.9942
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Italy,ITA,6.8174,6.9472,7.077,7.0614,7.0458,6.999,6.778,6.557,6.336,6.115,5.894,5.7632,5.6324,5.5016,5.3708
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Jamaica,JAM,87.8926,85.9368,83.981,81.9904,79.9998,74.028,71.3732,68.7184,66.0636,63.4088,60.754,59.1546,57.5552,55.9558,54.3564
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Japan,JPN,5.1366,5.3978,5.659,5.55,5.441,5.114,4.987,4.86,4.733,4.606,4.479,4.3392,4.1994,4.0596,3.9198
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Jordan,JOR,37.1052,35.7926,34.48,33.7066,32.9332,30.613,30.1072,29.6014,29.0956,28.5898,28.084,27.6426,27.2012,26.7598,26.3184
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Kazakhstan,KAZ,34.3114,31.7192,29.127,28.9122,28.6974,28.053,28.7044,29.3558,30.0072,30.6586,31.31,30.998,30.686,30.374,30.062
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Kenya,KEN,107.1176,105.6588,104.2,102.7784,101.3568,97.092,94.9042,92.7164,90.5286,88.3408,86.153,83.938,81.723,79.508,77.293
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Kiribati,KIR,36.7252,35.1136,33.502,32.2492,30.9964,27.238,26.0172,24.7964,23.5756,22.3548,21.134,20.1426,19.1512,18.1598,17.1684
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,"Korea, Dem. People’s Rep.",PRK,1.0744,1.0172,0.96,0.8928,0.8256,0.624,0.561,0.498,0.435,0.372,0.309,0.3038,0.2986,0.2934,0.2882
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,"Korea, Rep.",KOR,2.4844,2.3372,2.19,2.1518,2.1136,1.999,1.9524,1.9058,1.8592,1.8126,1.766,1.6886,1.6112,1.5338,1.4564
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Kosovo,XKX,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Kuwait,KWT,22.3212,20.9936,19.666,18.4026,17.1392,13.349,12.5684,11.7878,11.0072,10.2266,9.446,9.1956,8.9452,8.6948,8.4444
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Kyrgyz Republic,KGZ,45.622,39.986,34.35,33.4292,32.5084,29.746,32.6004,35.4548,38.3092,41.1636,44.018,41.767,39.516,37.265,35.014
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Lao PDR,LAO,82.354,79.81,77.266,76.2206,75.1752,72.039,71.1644,70.2898,69.4152,68.5406,67.666,67.2148,66.7636,66.3124,65.8612
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Latvia,LVA,19.1344,18.2012,17.268,17.4462,17.6244,18.159,17.585,17.011,16.437,15.863,15.289,15.4654,15.6418,15.8182,15.9946
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Lebanon,LBN,25.0224,23.0952,21.168,19.944,18.72,15.048,15.3332,15.6184,15.9036,16.1888,16.474,16.0792,15.6844,15.2896,14.8948
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Lesotho,LSO,86.9672,87.4536,87.94,87.7282,87.5164,86.881,87.3072,87.7334,88.1596,88.5858,89.012,89.7548,90.4976,91.2404,91.9832
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Liberia,LBR,148.8488,147.7614,146.674,145.5752,144.4764,141.18,140.7524,140.3248,139.8972,139.4696,139.042,138.426,137.81,137.194,136.578
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Libya,LBY,7.1272,6.7316,6.336,6.3188,6.3016,6.25,6.225,6.2,6.175,6.15,6.125,6.0538,5.9826,5.9114,5.8402
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Liechtenstein,LIE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Lithuania,LTU,25.3534,23.2132,21.073,20.6424,20.2118,18.92,17.8216,16.7232,15.6248,14.5264,13.428,12.9132,12.3984,11.8836,11.3688
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Luxembourg,LUX,11.0842,11.3926,11.701,11.286,10.871,9.626,8.9816,8.3372,7.6928,7.0484,6.404,6.0686,5.7332,5.3978,5.0624
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,"Macao SAR, China",MAC,5.1294,4.7032,4.277,4.0908,3.9046,3.346,3.318,3.29,3.262,3.234,3.206,3.041,2.876,2.711,2.546
