target,ids,date,flag,user,text,procesado
POSITIVE,2064673600,Sun Jun 07 06:53:31 PDT 2009,NO_QUERY,BettinaWagner,"@MisterSnoop My husband said it was crap, because babies also enjoy squeaky toys. I hope he is right! ","['husband', 'said', 'crap', 'babies', 'also', 'enjoy', 'squeaky', 'toys', 'hope', 'right']"
POSITIVE,1791940367,Wed May 13 21:36:01 PDT 2009,NO_QUERY,titaniumtommy,"@mrjamestin nevermind, my wife decided to cancel trip since she is worried about getting stuck in quarantine ","['nevermind', 'wife', 'decided', 'cancel', 'trip', 'since', 'worried', 'getting', 'stuck', 'quarantine']"
NEGATIVE,1994353035,Mon Jun 01 11:48:14 PDT 2009,NO_QUERY,wmhadley,changes over to the other night shift wednesday. Tonight is my last night with this platoon ,"['changes', 'night', 'shift', 'wednesday', 'tonight', 'last', 'night', 'platoon']"
POSITIVE,2186037170,Mon Jun 15 18:15:56 PDT 2009,NO_QUERY,chiaw,"@sharonloh &quot;...In repentance and rest is your salvation, in quietness and trust is your strength...&quot; ~Isaiah 30:3 ","['quot', 'repentance', 'rest', 'salvation', 'quietness', 'trust', 'strength', 'quot']"
POSITIVE,2050041253,Fri Jun 05 17:57:43 PDT 2009,NO_QUERY,gab_iii,http://twitpic.com/6pmfw - @nerdbox here it is ,[]
NEGATIVE,2187832658,Mon Jun 15 20:52:32 PDT 2009,NO_QUERY,Wseries,"Safari 4 is becoming unusable with its constant crashing. Amazingly, it even dies when I try to view the store page on Apple's website. ","['safari', 'becoming', 'unusable', 'constant', 'crashing', 'amazingly', 'even', 'dies', 'try', 'view', 'store', 'page', 'apple', 'website']"
NEGATIVE,2048840652,Fri Jun 05 15:51:47 PDT 2009,NO_QUERY,dagmaroon,@katherinemarsh why would you feel invisible? ,"['would', 'feel', 'invisible']"
NEGATIVE,2239048257,Fri Jun 19 08:04:03 PDT 2009,NO_QUERY,alexalaimo,a week of rain is no fun ,"['week', 'rain', 'fun']"
POSITIVE,1992852793,Mon Jun 01 09:25:42 PDT 2009,NO_QUERY,HeatherShea,@swyyft Hey! I've been here...sorta. Going out a lot. Time to take a break and give the liver a bit of rest  How are you?? xo,"['hey', 'sorta', 'going', 'lot', 'time', 'take', 'break', 'give', 'liver', 'bit', 'rest']"
NEGATIVE,2047600809,Fri Jun 05 13:53:50 PDT 2009,NO_QUERY,UberJedi,"@MKEYCKOR I'm sorry to hear that, it's certainly not pleasant outside... boo for all this rain ","['sorry', 'hear', 'certainly', 'pleasant', 'outside', 'boo', 'rain']"
POSITIVE,1691017012,Sun May 03 16:54:20 PDT 2009,NO_QUERY,KurikoH,@SonalMehta Thanks! I can't believe we won the second place!! Thanks for your support. ,"['thanks', 'believe', 'second', 'place', 'thanks', 'support']"
POSITIVE,1956193637,Thu May 28 21:22:17 PDT 2009,NO_QUERY,BringBackL0ve,http://twitpic.com/65xyd - I was so darn cute! ,"['darn', 'cute']"
NEGATIVE,2256100987,Sat Jun 20 12:15:42 PDT 2009,NO_QUERY,filmnoirgirl,"@hollyalyxfinch Yep! Just ate pizza too, i'm eating junk in general to be fair  I'll regret it later lol","['yep', 'ate', 'pizza', 'eating', 'junk', 'general', 'fair', 'regret', 'late', 'lol']"
POSITIVE,1971290648,Sat May 30 06:44:24 PDT 2009,NO_QUERY,JRDM,@jdm79 a year tomorrow though - can't wait   Maybe we should have a little celebration tonight though for it being 52 weeks?!?,"['year', 'tomorrow', 'though', 'wait', 'maybe', 'little', 'celebration', 'tonight', 'though', 'weeks']"
NEGATIVE,2068119100,Sun Jun 07 13:31:52 PDT 2009,NO_QUERY,bellahbee,I just got told I look like a boy ,"['got', 'told', 'look', 'like', 'boy']"
POSITIVE,1553177174,Sat Apr 18 13:34:27 PDT 2009,NO_QUERY,xashleyx3,@xDorkiexLovatox becuase i just am  LOL n i watched the new icarly when sam is a girly girl xD,"['becuase', 'lol', 'watched', 'new', 'icarly', 'sam', 'girly', 'girl']"
NEGATIVE,2256166941,Sat Jun 20 12:21:43 PDT 2009,NO_QUERY,Lydiajohn13,"@MiSSHOLLYWOOD14 Sorry to hear, you have a stomach ache. ","['sorry', 'hear', 'stomach', 'ache']"
POSITIVE,1974001106,Sat May 30 12:14:46 PDT 2009,NO_QUERY,Sam_Fenton,@littlenaDdi  oh i 've got to go..i promise i'll see it later..thnx ,"['got', 'promise', 'see', 'late', 'thnx']"
NEGATIVE,2252225723,Sat Jun 20 05:46:33 PDT 2009,NO_QUERY,exsanguinator,@pigsonthewing now I really am in the wrong building! all I have is a small bag o nik-naks!   #saturdayworkfail,"['really', 'wrong', 'building', 'small', 'bag', 'saturdayworkfail']"
NEGATIVE,2223994427,Thu Jun 18 08:57:45 PDT 2009,NO_QUERY,voodoolily,@AfrikanBoy I have 12GB of music in mine - don't even want to know how long it's gonna take for everything to update. ,"['music', 'mine', 'even', 'want', 'know', 'long', 'gon', 'take', 'everything', 'update']"
NEGATIVE,1834373095,Mon May 18 02:41:08 PDT 2009,NO_QUERY,Tish019,@CabreraNina Imyyy. youre grounded eh. ,"['imyyy', 'youre', 'grounded']"
NEGATIVE,2068791620,Sun Jun 07 14:42:23 PDT 2009,NO_QUERY,dalejrfan2007,"just got done mowing, have 2 write a paper now ","['got', 'done', 'mowing', 'write', 'paper']"
POSITIVE,1932621409,Tue May 26 21:51:00 PDT 2009,NO_QUERY,couture,http://twitpic.com/61dqh - Awwww! Beauty &amp; the beast ,"['beauty', 'amp', 'beast']"
NEGATIVE,2222858136,Thu Jun 18 07:32:09 PDT 2009,NO_QUERY,topify,@mayashoval we didn't receive the mail  can you resend with samples?,"['receive', 'mail', 'resend', 'samples']"
NEGATIVE,2067350351,Sun Jun 07 12:11:25 PDT 2009,NO_QUERY,KiD_SolO_,"@taylorgese u said, &quot;uh,   &quot; txt me wat that meant","['said', 'quot', 'quot', 'txt', 'wat', 'meant']"
NEGATIVE,2236350024,Fri Jun 19 03:29:10 PDT 2009,NO_QUERY,intobattle,@horse31 AW. Trap Door is awesome. I want to watch it again. ,"['trap', 'door', 'awesome', 'want', 'watch']"
POSITIVE,2015074697,Wed Jun 03 03:37:16 PDT 2009,NO_QUERY,Loughlinbowe,"@lilyroseallen You should really get some sleep, staying up never works ","['really', 'get', 'sleep', 'staying', 'never', 'works']"
POSITIVE,2001344520,Tue Jun 02 00:34:50 PDT 2009,NO_QUERY,flyddw,@GimliGlider - thought maybe you were just in &quot;a state of being&quot;  ,"['thought', 'maybe', 'quot', 'state', 'quot']"
POSITIVE,1964398373,Fri May 29 14:10:23 PDT 2009,NO_QUERY,Shazzy9,@mileycyrus &lt; i love Demii also... fab actress ,"['love', 'demii', 'also', 'fab', 'actress']"
NEGATIVE,2212241313,Wed Jun 17 13:51:09 PDT 2009,NO_QUERY,xLucyLoox,@BeckyC3 ok.  Alan morning Food last. I should be here when you get back,"['alan', 'morning', 'food', 'last', 'get', 'back']"
POSITIVE,1836135728,Mon May 18 07:26:27 PDT 2009,NO_QUERY,angelidy,@vivspace I am so happy for the 5 kids going there this morning! I am just as excited to ride the rides and squeal ,"['happy', 'kids', 'going', 'morning', 'excited', 'ride', 'rides', 'squeal']"
NEGATIVE,2203921190,Wed Jun 17 00:52:04 PDT 2009,NO_QUERY,benjuang,"Man, people assume browser window sizes are bigger now. @squarespace, your login window requires scrolling to view.  #squarespace #trackle","['man', 'people', 'assume', 'browser', 'window', 'sizes', 'big', 'login', 'window', 'requires', 'scrolling', 'view', 'squarespace', 'trackle']"
POSITIVE,1978210373,Sat May 30 22:43:23 PDT 2009,NO_QUERY,DreadFullFuFu,"@Fee_de_la_Nuit like your gargoyle naming, eh?  loved that in your post. You write as though you're talking to a dear friend. Love it!","['like', 'gargoyle', 'naming', 'loved', 'post', 'write', 'though', 'talking', 'dear', 'friend', 'love']"
NEGATIVE,2054495126,Sat Jun 06 07:28:43 PDT 2009,NO_QUERY,jerzicua,@phylicia2214 i dont think you did  ,"['dont', 'think']"
NEGATIVE,2247495407,Fri Jun 19 19:10:57 PDT 2009,NO_QUERY,beckiskiss,WHAT?! ash-a-saur-us..now you have really done it!!! Then i'm going clubbing WITH OUT YOU!  how rude!,"['really', 'done', 'going', 'clubbing', 'rude']"
POSITIVE,1972652175,Sat May 30 09:37:45 PDT 2009,NO_QUERY,Dutch_Beautiful,"Exactly  but on YT it is going really far, calling her names and things like that ï¿½ sad people ;) I love BGT, better than ours at times ;)","['exactly', 'going', 'really', 'far', 'calling', 'names', 'things', 'like', 'sad', 'people', 'love', 'bgt', 'good', 'times']"
NEGATIVE,1976776973,Sat May 30 19:02:23 PDT 2009,NO_QUERY,Andjelija,@Cory_Froomkin @andrewhuntre moms most wanted &lt;-- I don't get it ,"['moms', 'wanted', 'get']"
NEGATIVE,1981493173,Sun May 31 09:16:07 PDT 2009,NO_QUERY,fluffygodzilla,@NeonBlueTornado hi didnt talk to u today  anyways bye i g2g bed my moms screaming at me in chinese and a mosquitos eating me ,"['didnt', 'talk', 'today', 'anyways', 'bye', 'bed', 'moms', 'screaming', 'chinese', 'mosquitos', 'eating']"
POSITIVE,2030213225,Thu Jun 04 08:02:50 PDT 2009,NO_QUERY,borwick,@salsb No I will not say how I voted. ,"['say', 'voted']"
NEGATIVE,2263930560,Sun Jun 21 02:14:42 PDT 2009,NO_QUERY,emremrem,is back to the grindstone for 4 12 hours shifts ,"['back', 'grindstone', 'hours', 'shifts']"
POSITIVE,1468625624,Tue Apr 07 02:48:29 PDT 2009,NO_QUERY,suzi_q,@moodleman http://twitpic.com/2taqx - this is great.. thanks  links perfectly with the look into connectivism I had with Syephen Downes,"['great', 'thanks', 'links', 'perfectly', 'look', 'connectivism', 'syephen', 'downes']"
POSITIVE,1976838139,Sat May 30 19:14:38 PDT 2009,NO_QUERY,LadyProducHer,@DvineExpression I wish we had a place that delivered calamari... ,"['wish', 'place', 'delivered', 'calamari']"
POSITIVE,1963329928,Fri May 29 12:33:35 PDT 2009,NO_QUERY,MarkSedney,"@mystiquetur well, that's an interesting question. 5 is the #numberoflanguagesispeak  Who speaks more?","['well', 'interesting', 'question', 'numberoflanguagesispeak', 'speaks']"
POSITIVE,2191753539,Tue Jun 16 05:54:30 PDT 2009,NO_QUERY,hanna_C,"Police scene, chalk line, Tequila shots,In the dark scene of the crime. &lt;&lt;&lt;&lt; I've listened to Dammed if I do Ya too much. gad damn ","['police', 'scene', 'chalk', 'line', 'tequila', 'shots', 'dark', 'scene', 'crime', 'listened', 'dammed', 'much', 'gad', 'damn']"
POSITIVE,1692372615,Sun May 03 19:51:25 PDT 2009,NO_QUERY,Sandypop,@DDsBoston wow it's gonna be a late one then. Hope you have a good time  ,"['wow', 'gon', 'late', 'one', 'hope', 'good', 'time']"
NEGATIVE,1994752249,Mon Jun 01 12:24:12 PDT 2009,NO_QUERY,nixabands,"Last day in Hawaii.   Breakfast at Hard Rock this morning. Some free time to sneak in a little sand, shopping (and packing).","['last', 'day', 'hawaii', 'breakfast', 'hard', 'rock', 'morning', 'free', 'time', 'sneak', 'little', 'sand', 'shopping', 'packing']"
NEGATIVE,1982258460,Sun May 31 10:50:57 PDT 2009,NO_QUERY,bexamillion,@HeatherrMyers GOOD GIRL!! lol ugh... i still have to read too! ,"['good', 'girl', 'lol', 'ugh', 'still', 'read']"
POSITIVE,1754096877,Sun May 10 04:57:51 PDT 2009,NO_QUERY,ace112,I'm enjoying the sunny day ,"['enjoying', 'sunny', 'day']"
NEGATIVE,2182050051,Mon Jun 15 12:39:12 PDT 2009,NO_QUERY,drachin8,@pauljessup 'tis very sad. ,['sad']
POSITIVE,1971721414,Sat May 30 07:45:04 PDT 2009,NO_QUERY,candicey617,loves watching Judge Judy! Get 'em Judy  LOL,"['loves', 'watching', 'judge', 'judy', 'get', 'judy', 'lol']"
NEGATIVE,1956372500,Thu May 28 21:44:20 PDT 2009,NO_QUERY,maeng,@Palchan Rest its poor soul. ,"['rest', 'poor', 'soul']"
NEGATIVE,2328906513,Thu Jun 25 10:07:30 PDT 2009,NO_QUERY,tperry11,Miss my dog shaggy. Rip ,"['miss', 'dog', 'shaggy', 'rip']"
POSITIVE,2001810330,Tue Jun 02 02:09:05 PDT 2009,NO_QUERY,IanQuigley,@juliedeb How's your weekend? I see you have a new God now ,"['weekend', 'see', 'new', 'god']"
POSITIVE,1972649289,Sat May 30 09:37:25 PDT 2009,NO_QUERY,mackenzie834,@foxappeal so much for Ubuntu. ,"['much', 'ubuntu']"
NEGATIVE,1998708973,Mon Jun 01 18:59:57 PDT 2009,NO_QUERY,kellygirl3,@ashleykohn  Aww thanks ashley! I appreciate that. . i just really liked him! ,"['aww', 'thanks', 'ashley', 'appreciate', 'really', 'liked']"
NEGATIVE,1979287183,Sun May 31 02:24:08 PDT 2009,NO_QUERY,baldeggie,@1KrazyKorean: I so want that BB  stuck with the 8310 is it AWESOME ?,"['want', 'stuck', 'awesome']"
NEGATIVE,2238404848,Fri Jun 19 07:14:12 PDT 2009,NO_QUERY,BritanieT,starbucks til three. ,"['starbucks', 'til', 'three']"
POSITIVE,2069193550,Sun Jun 07 15:25:57 PDT 2009,NO_QUERY,heaven_hills,i'm so wiki today. posting images of velvet underground's tribute ,"['wiki', 'today', 'posting', 'images', 'velvet', 'underground', 'tribute']"
NEGATIVE,1979030275,Sun May 31 01:21:25 PDT 2009,NO_QUERY,jeremstarxxx,Can't go to the beach cause it's raining  add me on my official myspace http://myspace.com/jeremstar,"['beach', 'cause', 'raining', 'add', 'official', 'myspace']"
POSITIVE,1956244451,Thu May 28 21:28:24 PDT 2009,NO_QUERY,jessicaacosta,great day parasailing w/my mom and aunt!! they let go of all their fears i was so blessed to see them face their fears  great times!,"['great', 'day', 'parasailing', 'mom', 'aunt', 'let', 'fears', 'blessed', 'see', 'face', 'fears', 'great', 'times']"
NEGATIVE,2189184639,Mon Jun 15 23:26:16 PDT 2009,NO_QUERY,dokus,"Starting the day with a hot bath, me like  Now all that's missing is a massage ","['starting', 'day', 'hot', 'bath', 'like', 'missing', 'massage']"
POSITIVE,1979157309,Sun May 31 01:52:10 PDT 2009,NO_QUERY,LizCasales,Really great time in hollywood...awesome time with friends! Love u guys ,"['really', 'great', 'time', 'hollywood', 'awesome', 'time', 'friends', 'love', 'guys']"
POSITIVE,2015529148,Wed Jun 03 04:54:11 PDT 2009,NO_QUERY,lornabrittany,My nephew is coming right now!!! At the hospital  yay!!!,"['nephew', 'coming', 'right', 'hospital', 'yay']"
POSITIVE,2072298582,Sun Jun 07 20:45:38 PDT 2009,NO_QUERY,wannabejonsgirl,@JonathanRKnight   Where are you??  Jordan beat you to twit   Hope you got the snoring problem under control  LOL!!,"['jordan', 'beat', 'twit', 'hope', 'got', 'snoring', 'problem', 'control', 'lol']"
NEGATIVE,2000066856,Mon Jun 01 21:20:40 PDT 2009,NO_QUERY,coopersmypup,@KalebNation annoying YouTube ,"['annoying', 'youtube']"
